date,dtemp
2011-05-18,61.853657
2011-05-19,63.709091
2011-05-20,62.489796
2011-05-21,61.653061
2011-05-22,61.371429
2011-05-23,59.57143
2011-05-24,68.588234
2011-05-25,65.46875
2011-05-26,74.783783
2011-05-27,72.21212
2011-05-28,71.86364
2011-05-29,76.147057
2011-05-30,77.78125
2011-05-31,76.066666
2011-06-01,78.914284
2011-06-02,60.4375
2011-06-03,61.1875
2011-06-04,62.96875
2011-06-05,61.84375
2011-06-06,69.71875
2011-06-07,74.375
2011-06-08,76.045456
2011-06-09,74.352943
2011-06-10,70.117645
2011-06-11,60.733334
2011-06-12,62.375
2011-06-13,61.823528
2011-06-14,59
2011-06-15,65.84375
2011-06-16,71.1875
2011-06-17,66.681816
2011-06-18,71.361115
2011-06-19,66.90625
2011-06-20,67.6875
2011-06-21,71.032257
2011-06-22,66.163933
2011-06-23,67.425529
2011-06-24,66.37838
2011-06-25,67.195656
2011-06-26,68.486488
2011-06-27,72.235291
2011-06-28,73.157898
2011-06-29,66.431816
2011-06-30,67.457146
2011-07-01,68.09375
2011-07-02,72.542854
2011-07-03,70.537041
2011-07-04,74.342857
2011-07-05,74.40625
2011-07-06,73.972221
2011-07-07,73.90625
2011-07-08,70.809525
2011-07-09,72.216217
2011-07-10,73.84375
2011-07-11,79.96875
2011-07-12,81.03125
2011-07-13,72.5
2011-07-14,69.75
2011-07-15,71.75
2011-07-16,74.3125
2011-07-17,78.6875
2011-07-18,75.342857
2011-07-19,75.36364
2011-07-20,78.181816
2011-07-21,86.90625
2011-07-22,85.5
2011-07-23,80.361115
2011-07-24,77.78125
2011-07-25,67.723404
2011-07-26,70.179489
2011-07-27,72.3125
2011-07-28,74.272728
2011-07-29,76.560974
2011-07-30,77.171425
2011-07-31,75.78125
2011-08-01,77.911766
2011-08-02,75
2011-08-03,70.029411
2011-08-04,73.37838
2011-08-05,77.0625
2011-08-06,72.88636
2011-08-07,76.902435
2011-08-08,74.414635
2011-08-09,70.926826
2011-08-10,72.75
2011-08-11,67.6875
2011-08-12,68.967743
2011-08-13,69.8125
2011-08-14,69.866669
2011-08-15,65.169228
2011-08-16,65.955559
2011-08-17,71.4375
2011-08-18,73.794121
2011-08-19,70.454544
2011-08-20,69.25
2011-08-21,72.023254
2011-08-22,66.07692
2011-08-23,65.625
2011-08-24,69.65625
2011-08-25,71.0625
2011-08-26,71.90625
2011-08-27,71.275002
2011-08-28,65.46154
2011-08-29,63.53125
2011-08-30,65.6875
2011-08-31,68.8125
2011-09-01,69.371429
2011-09-02,70.5
2011-09-03,71.969696
2011-09-04,74.094337
2011-09-05,67.69841
2011-09-06,62.583332
2011-09-07,61.522388
2011-09-08,65.15686
2011-09-09,68.275002
2011-09-10,65.125
2011-09-11,63.083332
2011-09-12,67.86364
2011-09-13,70.864868
2011-09-14,68.411766
2011-09-15,55.945946
2011-09-16,51.03125
2011-09-17,50.71875
2011-09-18,51.844444
2011-09-19,52.756096
2011-09-20,59.061226
2011-09-21,60.830189
2011-09-22,69.320755
2011-09-23,66.177422
2011-09-24,69.408165
2011-09-25,66.227272
2011-09-26,67.568184
2011-09-27,69.820511
2011-09-28,67.780487
2011-09-29,64.770836
2011-09-30,61.888889
2011-10-01,51.08889
2011-10-02,53.200001
2011-10-03,54.976189
2011-10-04,56.200001
2011-10-05,55.64706
2011-10-06,49.40625
2011-10-07,51.71875
2011-10-08,58.8125
2011-10-09,63
2011-10-10,65.71875
2011-10-11,61.96875
